78517,"channel 92 in there 19/1/16 prog ""ho kya raha hai""use insulting word HAALAK for Arm forces personel who died in a bomb blast in peshawar.All those people are died in terrorist attack are SHAHEED .and should be given respect who gave thier life for country,fighting these terrorist . prog anchor and channel 92 ,who use word HAALAK for these shaheeds should apologise on air . channel 92 apologise on air and orders to all channels they should use word SHAHEED for all those who died during terrorist attack,spacially ARM FORECES personel"
78520,"Denigrates men or women to have the effect of being independent or derogatory, Detrimental to Islamic values, Encouraging Violence, Glorify crime or criminals, Obscenity, Pornography, Promotes aids or obets, Sectarianism, Slander against basic cultural values, morality and good manners, Slanders against individual or certain groups, Vulgarity, The Man Name Nabeel and Mohsin (03110273552) From Jaag TV Called on my Brother cell no. and said we are calling from Police Station and thread me . They are calling me again and again . My father has been died i am only one at my home. kindly take action No."
78523,Reported Model fell on ramp in a fashion show in Lahore while footage shows many models were wearing indecent clothes. TIME 9:50 PM DATE 21 January 2016 Please take serious action as the footage was appropiate for Pakistani family channel
78525,"I have a complaint about an upcoming TV program on Discovery. This series of program ""Revealed Siachen"" is produced by India and it will highlight India's point of view on the issue. It will also glorify Indian soldiers and insult Pakistani soldiers & Pakistan Army. The series is starting from 26th January. Here is its link: http://www.discoverychannel.co.in/revealed-siachen/ Please ask the cable operators to block the Discovery channel when this program is aired (including the repeat telecast). If it's a problem, please block the Discovery channel throughout the period this series is telecasted. It is very important because it is anti-Pakistan."
78526,the nation is facing a great crisis and meanwhile hum is celebrating God knows why?? hum awards are should be banned as no one is interested!! block these awards
78529,bht sharam ki bath he qome jwano ka sog mna rahi he or tm log nach gano me lage ho Allah ka khouf kare ager tm logo k gahr me matem ho to isi tarah nacho ge pemra kaha so raha he action q nai leti a ker n gahro ka hal dekehe
78531,"We should not show such program in which we show week points to our enemies. Like today Programme from 2000 hrs to 2100 hrs were regarding the universities the week points which enemy didn't know about, they are conveniently fed by theses kind of programs. there should be some check please. We should not show such program in which we show week points to our enemies. Like today Programme from 2000 hrs to 2100 hrs were regarding the universities the week points which enemy didn't know about, they are conveniently fed by theses kind of programs. there should be some check please."
78537,"here i m going to mention a link below. female anchor ""uzma tahir"" discussing gay sex in Pakistan. but listen what sort of language she is using. being a university student still i cant listen to her bold even somehow vulgar language. plz shut such ranking seeking programs https://www.youtube.com/watch?v=ntALdN3jQAQ make sure that shows recorded on sensitive issues specially about sex should have appropriate content and language"
78539,A TV Channel which is on Asia Set 3 Jan TV advertisement so sexy and dirty. which is not good for any one i request please you see the Jan TV advertisement which Perfect Women cream. show dirty videos. please take action other wise i will show in news paper with this complaint print. this tv show pakistani numbers and adress. much others channels which great tv and B24 also advertise this add stop this
78540,"These channel showing Indian Drama's. AND Also local cable operator showing Indian channels like Sony,Colours,Zoom,Star Gold in Wapada Town Lahore.Please restrict Pakistani channels that they don't show Indian Drama's.Also restrict these Indian Channels on Cable in WHOLE Pakistan. GiveGin above."
